0323|add esp,[ebx]
032424|add esp,[esp]
032500000000|add esp,[0x0]
0326|add esp,[esi]
0327|add esp,[edi]
032b|add ebp,[ebx]
032c24|add ebp,[esp]
032d00000000|add ebp,[0x0]
032e|add ebp,[esi]
032f|add ebp,[edi]
0333|add esi,[ebx]
033424|add esi,[esp]
033500000000|add esi,[0x0]
0336|add esi,[esi]
0337|add esi,[edi]
033b|add edi,[ebx]
033c24|add edi,[esp]
033d00000000|add edi,[0x0]
033e|add edi,[esi]
033f|add edi,[edi]
034500|add eax,[ebp]
034d00|add ecx,[ebp]
035d00|add ebx,[ebp]
036500|add esp,[ebp]
036d00|add ebp,[ebp]
037500|add esi,[ebp]
037d00|add edi,[ebp]
0400|add al,0x0
 06|push es 
 07|pop es 
0803|or [ebx],al
080424|or [esp],al
080500000000|or [0x0],al
0806|or [esi],al
0807|or [edi],al
080b|or [ebx],cl
080c24|or [esp],cl
080d00000000|or [0x0],cl
080e|or [esi],cl
080f|or [edi],cl
0813|or [ebx],dl
081424|or [esp],dl
081500000000|or [0x0],dl
0816|or [esi],dl
0817|or [edi],dl
081b|or [ebx],bl
081c24|or [esp],bl
081d00000000|or [0x0],bl
081e|or [esi],bl
081f|or [edi],bl
0823|or [ebx],ah
082424|or [esp],ah
082500000000|or [0x0],ah
0826|or [esi],ah
0827|or [edi],ah
082b|or [ebx],ch
082c24|or [esp],ch
082d00000000|or [0x0],ch
082e|or [esi],ch
082f|or [edi],ch
0833|or [ebx],dh
083424|or [esp],dh
083500000000|or [0x0],dh
0836|or [esi],dh
0837|or [edi],dh
083b|or [ebx],bh
083c24|or [esp],bh
083d00000000|or [0x0],bh
083e|or [esi],bh
083f|or [edi],bh
084500|or [ebp],al
084d00|or [ebp],cl
085500|or [ebp],dl
085d00|or [ebp],bl
086500|or [ebp],ah
086d00|or [ebp],ch
087500|or [ebp],dh
087d00|or [ebp],bh
08c0|or al,al
08c1|or cl,al
08c2|or dl,al
08c3|or bl,al
08c4|or ah,al
08c5|or ch,al
08c6|or dh,al
08c7|or bh,al
08c8|or al,cl
08c9|or cl,cl
08ca|or dl,cl
08cb|or bl,cl
08cc|or ah,cl
08cd|or ch,cl
08ce|or dh,cl
08cf|or bh,cl
08d0|or al,dl
08d1|or cl,dl
08d2|or dl,dl
08d3|or bl,dl
08d4|or ah,dl
08d5|or ch,dl
08d6|or dh,dl
08d7|or bh,dl
08d8|or al,bl
08d9|or cl,bl
08da|or dl,bl
08db|or bl,bl
08dc|or ah,bl
08dd|or ch,bl
08de|or dh,bl
08df|or bh,bl
08e0|or al,ah
08e1|or cl,ah
08e2|or dl,ah
08e3|or bl,ah
08e4|or ah,ah
08e5|or ch,ah
08e6|or dh,ah
08e7|or bh,ah
08e8|or al,ch
08e9|or cl,ch
08ea|or dl,ch
08eb|or bl,ch
08ec|or ah,ch
08ed|or ch,ch
08ee|or dh,ch
08ef|or bh,ch
08f0|or al,dh
08f1|or cl,dh
08f2|or dl,dh
08f3|or bl,dh
08f4|or ah,dh
08f5|or ch,dh
08f6|or dh,dh
08f7|or bh,dh
08f8|or al,bh
08f9|or cl,bh
08fa|or dl,bh
08fb|or bl,bh
08fc|or ah,bh
08fd|or ch,bh
08fe|or dh,bh
08ff|or bh,bh
0903|or [ebx],eax
090424|or [esp],eax
090500000000|or [0x0],eax
0906|or [esi],eax
0907|or [edi],eax
090b|or [ebx],ecx
090c24|or [esp],ecx
090d00000000|or [0x0],ecx
090e|or [esi],ecx
090f|or [edi],ecx
091b|or [ebx],ebx
091c24|or [esp],ebx
091d00000000|or [0x0],ebx
091e|or [esi],ebx
091f|or [edi],ebx
0923|or [ebx],esp
092424|or [esp],esp
092500000000|or [0x0],esp
0926|or [esi],esp
0927|or [edi],esp
092b|or [ebx],ebp
092c24|or [esp],ebp
092d00000000|or [0x0],ebp
092e|or [esi],ebp
092f|or [edi],ebp
0933|or [ebx],esi
093424|or [esp],esi
093500000000|or [0x0],esi
0936|or [esi],esi
0937|or [edi],esi
093b|or [ebx],edi
093c24|or [esp],edi
093d00000000|or [0x0],edi
093e|or [esi],edi
093f|or [edi],edi
094500|or [ebp],eax
094d00|or [ebp],ecx
095d00|or [ebp],ebx
096500|or [ebp],esp
096d00|or [ebp],ebp
097500|or [ebp],esi
097d00|or [ebp],edi
09c0|or eax,eax
09c1|or ecx,eax
09c3|or ebx,eax
09c4|or esp,eax
09c5|or ebp,eax
09c6|or esi,eax
09c7|or edi,eax
09c8|or eax,ecx
09c9|or ecx,ecx
09cb|or ebx,ecx
09cc|or esp,ecx
09cd|or ebp,ecx
09ce|or esi,ecx
09cf|or edi,ecx
09d8|or eax,ebx
09d9|or ecx,ebx
09db|or ebx,ebx
09dc|or esp,ebx
09dd|or ebp,ebx
09de|or esi,ebx
09df|or edi,ebx
09e0|or eax,esp
09e1|or ecx,esp
09e3|or ebx,esp
09e4|or esp,esp
09e5|or ebp,esp
09e6|or esi,esp
09e7|or edi,esp
09e8|or eax,ebp
09e9|or ecx,ebp
09eb|or ebx,ebp
09ec|or esp,ebp
09ed|or ebp,ebp
09ee|or esi,ebp
09ef|or edi,ebp
09f0|or eax,esi
09f1|or ecx,esi
09f3|or ebx,esi
09f4|or esp,esi
09f5|or ebp,esi
09f6|or esi,esi
09f7|or edi,esi
09f8|or eax,edi
09f9|or ecx,edi
09fb|or ebx,edi
09fc|or esp,edi
09fd|or ebp,edi
09fe|or esi,edi
09ff|or edi,edi
0a03|or al,[ebx]
0a0424|or al,[esp]
0a0500000000|or al,[0x0]
0a06|or al,[esi]
0a07|or al,[edi]
0a0b|or cl,[ebx]
0a0c24|or cl,[esp]
0a0d00000000|or cl,[0x0]
0a0e|or cl,[esi]
0a0f|or cl,[edi]
0a13|or dl,[ebx]
0a1424|or dl,[esp]
0a1500000000|or dl,[0x0]
0a16|or dl,[esi]
0a17|or dl,[edi]
0a1b|or bl,[ebx]
0a1c24|or bl,[esp]
0a1d00000000|or bl,[0x0]
0a1e|or bl,[esi]
0a1f|or bl,[edi]
0a23|or ah,[ebx]
0a2424|or ah,[esp]
0a2500000000|or ah,[0x0]
0a26|or ah,[esi]
0a27|or ah,[edi]
0a2b|or ch,[ebx]
0a2c24|or ch,[esp]
0a2d00000000|or ch,[0x0]
0a2e|or ch,[esi]
0a2f|or ch,[edi]
0a33|or dh,[ebx]
0a3424|or dh,[esp]
0a3500000000|or dh,[0x0]
0a36|or dh,[esi]
0a37|or dh,[edi]
0a3b|or bh,[ebx]
0a3c24|or bh,[esp]
0a3d00000000|or bh,[0x0]
0a3e|or bh,[esi]
0a3f|or bh,[edi]
0a4500|or al,[ebp]
0a4d00|or cl,[ebp]
0a5500|or dl,[ebp]
0a5d00|or bl,[ebp]
0a6500|or ah,[ebp]
0a6d00|or ch,[ebp]
0a7500|or dh,[ebp]
0a7d00|or bh,[ebp]
0b03|or eax,[ebx]
0b0424|or eax,[esp]
0b0500000000|or eax,[0x0]
0b06|or eax,[esi]
0b07|or eax,[edi]
0b0b|or ecx,[ebx]
0b0c24|or ecx,[esp]
0b0d00000000|or ecx,[0x0]
0b0e|or ecx,[esi]
0b0f|or ecx,[edi]
0b1b|or ebx,[ebx]
0b1c24|or ebx,[esp]
0b1d00000000|or ebx,[0x0]
0b1e|or ebx,[esi]
0b1f|or ebx,[edi]
0b23|or esp,[ebx]
0b2424|or esp,[esp]
0b2500000000|or esp,[0x0]
0b26|or esp,[esi]
0b27|or esp,[edi]
0b2b|or ebp,[ebx]
0b2c24|or ebp,[esp]
0b2d00000000|or ebp,[0x0]
0b2e|or ebp,[esi]
0b2f|or ebp,[edi]
0b33|or esi,[ebx]
0b3424|or esi,[esp]
0b3500000000|or esi,[0x0]
0b36|or esi,[esi]
0b37|or esi,[edi]
0b3b|or edi,[ebx]
0b3c24|or edi,[esp]
0b3d00000000|or edi,[0x0]
0b3e|or edi,[esi]
0b3f|or edi,[edi]
0b4500|or eax,[ebp]
0b4d00|or ecx,[ebp]
0b5d00|or ebx,[ebp]
0b6500|or esp,[ebp]
0b6d00|or ebp,[ebp]
0b7500|or esi,[ebp]
0b7d00|or edi,[ebp]
0c00|or al,0x0
 0e|push cs 
 0f0003|sldt [ebx] 
 0f000424|sldt [esp] 
 0f000500000000|sldt [0x0] 
 0f0006|sldt [esi] 
 0f0007|sldt [edi] 
 0f000b|str [ebx] 
 0f000c24|str [esp] 
 0f000d00000000|str [0x0] 
 0f000e|str [esi] 
 0f000f|str [edi] 
 0f0013|lldt [ebx] 
 0f001424|lldt [esp] 
 0f001500000000|lldt [0x0] 
 0f0016|lldt [esi] 
 0f0017|lldt [edi] 
 0f001b|ltr [ebx] 
 0f001c24|ltr [esp] 
 0f001d00000000|ltr [0x0] 
 0f001e|ltr [esi] 
 0f001f|ltr [edi] 
 0f0023|verr [ebx] 
 0f002424|verr [esp] 
 0f002500000000|verr [0x0] 
 0f0026|verr [esi] 
 0f0027|verr [edi] 
 0f002b|verw [ebx] 
 0f002c24|verw [esp] 
 0f002d00000000|verw [0x0] 
 0f002e|verw [esi] 
 0f002f|verw [edi] 
 0f004500|sldt [ebp] 
 0f004d00|str [ebp] 
 0f005500|lldt [ebp] 
 0f005d00|ltr [ebp] 
 0f006500|verr [ebp] 
 0f006d00|verw [ebp] 
 0f00c0|sldt eax 
 0f00c1|sldt ecx 
 0f00c3|sldt ebx 
 0f00c4|sldt esp 
 0f00c5|sldt ebp 
 0f00c6|sldt esi 
 0f00c7|sldt edi 
 0f00c8|str eax 
 0f00c9|str ecx 
 0f00cb|str ebx 
 0f00cc|str esp 
 0f00cd|str ebp 
 0f00ce|str esi 
 0f00cf|str edi 
 0f00d0|lldt ax 
 0f00d1|lldt cx 
 0f00d2|lldt dx 
 0f00d3|lldt bx 
 0f00d4|lldt sp 
 0f00d5|lldt bp 
 0f00d6|lldt si 
 0f00d7|lldt di 
 0f00d8|ltr ax 
 0f00d9|ltr cx 
 0f00da|ltr dx 
 0f00db|ltr bx 
 0f00dc|ltr sp 
 0f00dd|ltr bp 
 0f00de|ltr si 
 0f00df|ltr di 
 0f00e0|verr ax 
 0f00e1|verr cx 
 0f00e2|verr dx 
 0f00e3|verr bx 
 0f00e4|verr sp 
 0f00e5|verr bp 
 0f00e6|verr si 
 0f00e7|verr di 
 0f00e8|verw ax 
 0f00e9|verw cx 
 0f00ea|verw dx 
 0f00eb|verw bx 
 0f00ec|verw sp 
 0f00ed|verw bp 
 0f00ee|verw si 
 0f00ef|verw di 
 0f0103|sgdt [ebx] 
 0f010424|sgdt [esp] 
 0f010500000000|sgdt [0x0] 
 0f0106|sgdt [esi] 
 0f0107|sgdt [edi] 
 0f010b|sidt [ebx] 
