08d3|or bl,dl
08d4|or ah,dl
08d5|or ch,dl
08d6|or dh,dl
08d7|or bh,dl
08d8|or al,bl
08d9|or cl,bl
08da|or dl,bl
08db|or bl,bl
08dc|or ah,bl
08dd|or ch,bl
08de|or dh,bl
08df|or bh,bl
08e0|or al,ah
08e1|or cl,ah
08e2|or dl,ah
08e3|or bl,ah
08e4|or ah,ah
08e5|or ch,ah
08e6|or dh,ah
08e7|or bh,ah
08e8|or al,ch
08e9|or cl,ch
08ea|or dl,ch
08eb|or bl,ch
08ec|or ah,ch
08ed|or ch,ch
08ee|or dh,ch
08ef|or bh,ch
08f0|or al,dh
08f1|or cl,dh
08f2|or dl,dh
08f3|or bl,dh
08f4|or ah,dh
08f5|or ch,dh
08f6|or dh,dh
08f7|or bh,dh
08f8|or al,bh
08f9|or cl,bh
08fa|or dl,bh
08fb|or bl,bh
08fc|or ah,bh
08fd|or ch,bh
08fe|or dh,bh
08ff|or bh,bh
0904|or [si],ax
0905|or [di],ax
09060000|or [0x0],ax
0907|or [bx],ax
090c|or [si],cx
090d|or [di],cx
090e0000|or [0x0],cx
090f|or [bx],cx
0914|or [si],dx
0915|or [di],dx
09160000|or [0x0],dx
0917|or [bx],dx
091c|or [si],bx
091d|or [di],bx
091e0000|or [0x0],bx
091f|or [bx],bx
0924|or [si],sp
0925|or [di],sp
09260000|or [0x0],sp
0927|or [bx],sp
092c|or [si],bp
092d|or [di],bp
092e0000|or [0x0],bp
092f|or [bx],bp
0934|or [si],si
0935|or [di],si
09360000|or [0x0],si
0937|or [bx],si
093c|or [si],di
093d|or [di],di
093e0000|or [0x0],di
093f|or [bx],di
094600|or [bp],ax
094e00|or [bp],cx
095600|or [bp],dx
095e00|or [bp],bx
096600|or [bp],sp
096e00|or [bp],bp
097600|or [bp],si
097e00|or [bp],di
09c0|or ax,ax
09c1|or cx,ax
09c2|or dx,ax
09c3|or bx,ax
09c4|or sp,ax
09c5|or bp,ax
09c6|or si,ax
09c7|or di,ax
09c8|or ax,cx
09c9|or cx,cx
09ca|or dx,cx
09cb|or bx,cx
09cc|or sp,cx
09cd|or bp,cx
09ce|or si,cx
09cf|or di,cx
09d0|or ax,dx
09d1|or cx,dx
09d2|or dx,dx
09d3|or bx,dx
09d4|or sp,dx
09d5|or bp,dx
09d6|or si,dx
09d7|or di,dx
09d8|or ax,bx
09d9|or cx,bx
09da|or dx,bx
09db|or bx,bx
09dc|or sp,bx
09dd|or bp,bx
09de|or si,bx
09df|or di,bx
09e0|or ax,sp
09e1|or cx,sp
09e2|or dx,sp
09e3|or bx,sp
09e4|or sp,sp
09e5|or bp,sp
09e6|or si,sp
09e7|or di,sp
09e8|or ax,bp
09e9|or cx,bp
09ea|or dx,bp
09eb|or bx,bp
09ec|or sp,bp
09ed|or bp,bp
09ee|or si,bp
09ef|or di,bp
09f0|or ax,si
09f1|or cx,si
09f2|or dx,si
09f3|or bx,si
09f4|or sp,si
09f5|or bp,si
09f6|or si,si
09f7|or di,si
09f8|or ax,di
09f9|or cx,di
09fa|or dx,di
09fb|or bx,di
09fc|or sp,di
09fd|or bp,di
09fe|or si,di
09ff|or di,di
0a04|or al,[si]
0a05|or al,[di]
0a060000|or al,[0x0]
0a07|or al,[bx]
0a0c|or cl,[si]
0a0d|or cl,[di]
0a0e0000|or cl,[0x0]
0a0f|or cl,[bx]
0a14|or dl,[si]
0a15|or dl,[di]
0a160000|or dl,[0x0]
0a17|or dl,[bx]
0a1c|or bl,[si]
0a1d|or bl,[di]
0a1e0000|or bl,[0x0]
0a1f|or bl,[bx]
0a24|or ah,[si]
0a25|or ah,[di]
0a260000|or ah,[0x0]
0a27|or ah,[bx]
0a2c|or ch,[si]
0a2d|or ch,[di]
0a2e0000|or ch,[0x0]
0a2f|or ch,[bx]
0a34|or dh,[si]
0a35|or dh,[di]
0a360000|or dh,[0x0]
0a37|or dh,[bx]
0a3c|or bh,[si]
0a3d|or bh,[di]
0a3e0000|or bh,[0x0]
0a3f|or bh,[bx]
0a4600|or al,[bp]
0a4e00|or cl,[bp]
0a5600|or dl,[bp]
0a5e00|or bl,[bp]
0a6600|or ah,[bp]
0a6e00|or ch,[bp]
0a7600|or dh,[bp]
0a7e00|or bh,[bp]
0b04|or ax,[si]
0b05|or ax,[di]
0b060000|or ax,[0x0]
0b07|or ax,[bx]
0b0c|or cx,[si]
0b0d|or cx,[di]
0b0e0000|or cx,[0x0]
0b0f|or cx,[bx]
0b14|or dx,[si]
0b15|or dx,[di]
0b160000|or dx,[0x0]
0b17|or dx,[bx]
0b1c|or bx,[si]
0b1d|or bx,[di]
0b1e0000|or bx,[0x0]
0b1f|or bx,[bx]
0b24|or sp,[si]
0b25|or sp,[di]
0b260000|or sp,[0x0]
0b27|or sp,[bx]
0b2c|or bp,[si]
0b2d|or bp,[di]
0b2e0000|or bp,[0x0]
0b2f|or bp,[bx]
0b34|or si,[si]
0b35|or si,[di]
0b360000|or si,[0x0]
0b37|or si,[bx]
0b3c|or di,[si]
0b3d|or di,[di]
0b3e0000|or di,[0x0]
0b3f|or di,[bx]
0b4600|or ax,[bp]
0b4e00|or cx,[bp]
0b5600|or dx,[bp]
0b5e00|or bx,[bp]
0b6600|or sp,[bp]
0b6e00|or bp,[bp]
0b7600|or si,[bp]
0b7e00|or di,[bp]
0c00|or al,0x0
 0e|push cs 
 0f0004|sldt [si] 
 0f0005|sldt [di] 
 0f00060000|sldt [0x0] 
 0f0007|sldt [bx] 
 0f000c|str [si] 
 0f000d|str [di] 
 0f000e0000|str [0x0] 
 0f000f|str [bx] 
 0f0014|lldt [si] 
 0f0015|lldt [di] 
 0f00160000|lldt [0x0] 
 0f0017|lldt [bx] 
 0f001c|ltr [si] 
 0f001d|ltr [di] 
 0f001e0000|ltr [0x0] 
 0f001f|ltr [bx] 
 0f0024|verr [si] 
 0f0025|verr [di] 
 0f00260000|verr [0x0] 
 0f0027|verr [bx] 
 0f002c|verw [si] 
 0f002d|verw [di] 
 0f002e0000|verw [0x0] 
 0f002f|verw [bx] 
 0f004600|sldt [bp] 
 0f004e00|str [bp] 
 0f005600|lldt [bp] 
 0f005e00|ltr [bp] 
 0f006600|verr [bp] 
 0f006e00|verw [bp] 
 0f00c0|sldt ax 
 0f00c1|sldt cx 
 0f00c2|sldt dx 
 0f00c3|sldt bx 
 0f00c4|sldt sp 
 0f00c5|sldt bp 
 0f00c6|sldt si 
 0f00c7|sldt di 
 0f00c8|str ax 
 0f00c9|str cx 
 0f00ca|str dx 
 0f00cb|str bx 
 0f00cc|str sp 
 0f00cd|str bp 
 0f00ce|str si 
 0f00cf|str di 
 0f00d0|lldt ax 
 0f00d1|lldt cx 
 0f00d2|lldt dx 
 0f00d3|lldt bx 
 0f00d4|lldt sp 
 0f00d5|lldt bp 
 0f00d6|lldt si 
 0f00d7|lldt di 
 0f00d8|ltr ax 
 0f00d9|ltr cx 
 0f00da|ltr dx 
 0f00db|ltr bx 
 0f00dc|ltr sp 
 0f00dd|ltr bp 
 0f00de|ltr si 
 0f00df|ltr di 
 0f00e0|verr ax 
 0f00e1|verr cx 
 0f00e2|verr dx 
 0f00e3|verr bx 
 0f00e4|verr sp 
 0f00e5|verr bp 
 0f00e6|verr si 
 0f00e7|verr di 
 0f00e8|verw ax 
 0f00e9|verw cx 
 0f00ea|verw dx 
 0f00eb|verw bx 
 0f00ec|verw sp 
 0f00ed|verw bp 
 0f00ee|verw si 
 0f00ef|verw di 
 0f0104|sgdt [si] 
 0f0105|sgdt [di] 
 0f01060000|sgdt [0x0] 
 0f0107|sgdt [bx] 
 0f010c|sidt [si] 
 0f010d|sidt [di] 
 0f010e0000|sidt [0x0] 
 0f010f|sidt [bx] 
 0f0114|lgdt [si] 
 0f0114|lgdt [si] 
 0f0115|lgdt [di] 
 0f0115|lgdt [di] 
 0f01160000|lgdt [0x0] 
 0f01160000|lgdt [0x0] 
 0f0117|lgdt [bx] 
 0f0117|lgdt [bx] 
 0f011c|lidt [si] 
 0f011d|lidt [di] 
 0f011e0000|lidt [0x0] 
 0f011f|lidt [bx] 
 0f0134|lmsw [si] 
 0f0135|lmsw [di] 
 0f01360000|lmsw [0x0] 
 0f0137|lmsw [bx] 
 0f014600|sgdt [bp] 
 0f014e00|sidt [bp] 
 0f015600|lgdt [bp] 
 0f015600|lgdt [bp] 
 0f015e00|lidt [bp] 
 0f017600|lmsw [bp] 
 0f01f0|lmsw ax 
