sub [de],[de]|dd95
sub [de],[sp]|dd95
sub [de],[ix]|dd95
sub [de],[iy]|dd95
sub [sp] | dd95
sub [sp],/bin/sh|dd95
sub [sp],[/bin/sh]|dd95
sub [sp],af|dd95
sub [sp],bc|dd95
sub [sp],hl|dd95
sub [sp],de|dd95
sub [sp],sp|dd95
sub [sp],ix|dd95
sub [sp],iy|dd95
sub [sp],[af]|dd95
sub [sp],[bc]|dd95
sub [sp],[hl]|dd95
sub [sp],[de]|dd95
sub [sp],[sp]|dd95
sub [sp],[ix]|dd95
sub [sp],[iy]|dd95
sub [ix] | dd95
sub [ix],/bin/sh|dd95
sub [ix],[/bin/sh]|dd95
sub [ix],af|dd95
sub [ix],bc|dd95
sub [ix],hl|dd95
sub [ix],de|dd95
sub [ix],sp|dd95
sub [ix],ix|dd95
sub [ix],iy|dd95
sub [ix],[af]|dd95
sub [ix],[bc]|dd95
sub [ix],[hl]|dd95
sub [ix],[de]|dd95
sub [ix],[sp]|dd95
sub [ix],[ix]|dd95
sub [ix],[iy]|dd95
sub [iy] | dd95
sub [iy],/bin/sh|dd95
sub [iy],[/bin/sh]|dd95
sub [iy],af|dd95
sub [iy],bc|dd95
sub [iy],hl|dd95
sub [iy],de|dd95
sub [iy],sp|dd95
sub [iy],ix|dd95
sub [iy],iy|dd95
sub [iy],[af]|dd95
sub [iy],[bc]|dd95
sub [iy],[hl]|dd95
sub [iy],[de]|dd95
sub [iy],[sp]|dd95
sub [iy],[ix]|dd95
sub [iy],[iy]|dd95
and | dda5
and /bin/sh | e600
and [/bin/sh] | dda5
and [/bin/sh],/bin/sh|dda5
and [/bin/sh],[/bin/sh]|dda5
and [/bin/sh],af|dda5
and [/bin/sh],bc|dda5
and [/bin/sh],hl|dda5
and [/bin/sh],de|dda5
and [/bin/sh],sp|dda5
and [/bin/sh],ix|dda5
and [/bin/sh],iy|dda5
and [/bin/sh],[af]|dda5
and [/bin/sh],[bc]|dda5
and [/bin/sh],[hl]|dda5
and [/bin/sh],[de]|dda5
and [/bin/sh],[sp]|dda5
and [/bin/sh],[ix]|dda5
and [/bin/sh],[iy]|dda5
and [af] | dda5
and [af],/bin/sh|dda5
and [af],[/bin/sh]|dda5
and [af],af|dda5
and [af],bc|dda5
and [af],hl|dda5
and [af],de|dda5
and [af],sp|dda5
and [af],ix|dda5
and [af],iy|dda5
and [af],[af]|dda5
and [af],[bc]|dda5
and [af],[hl]|dda5
and [af],[de]|dda5
and [af],[sp]|dda5
and [af],[ix]|dda5
and [af],[iy]|dda5
and [bc] | dda5
and [bc],/bin/sh|dda5
and [bc],[/bin/sh]|dda5
and [bc],af|dda5
and [bc],bc|dda5
and [bc],hl|dda5
and [bc],de|dda5
and [bc],sp|dda5
and [bc],ix|dda5
and [bc],iy|dda5
and [bc],[af]|dda5
and [bc],[bc]|dda5
and [bc],[hl]|dda5
and [bc],[de]|dda5
and [bc],[sp]|dda5
and [bc],[ix]|dda5
and [bc],[iy]|dda5
and [hl] | dda5
and [hl],/bin/sh|dda5
and [hl],[/bin/sh]|dda5
and [hl],af|dda5
and [hl],bc|dda5
and [hl],hl|dda5
and [hl],de|dda5
and [hl],sp|dda5
and [hl],ix|dda5
and [hl],iy|dda5
and [hl],[af]|dda5
and [hl],[bc]|dda5
and [hl],[hl]|dda5
and [hl],[de]|dda5
and [hl],[sp]|dda5
and [hl],[ix]|dda5
and [hl],[iy]|dda5
and [de] | dda5
and [de],/bin/sh|dda5
and [de],[/bin/sh]|dda5
and [de],af|dda5
and [de],bc|dda5
and [de],hl|dda5
and [de],de|dda5
and [de],sp|dda5
and [de],ix|dda5
and [de],iy|dda5
and [de],[af]|dda5
and [de],[bc]|dda5
and [de],[hl]|dda5
and [de],[de]|dda5
and [de],[sp]|dda5
and [de],[ix]|dda5
and [de],[iy]|dda5
and [sp] | dda5
and [sp],/bin/sh|dda5
and [sp],[/bin/sh]|dda5
and [sp],af|dda5
and [sp],bc|dda5
and [sp],hl|dda5
and [sp],de|dda5
and [sp],sp|dda5
and [sp],ix|dda5
and [sp],iy|dda5
and [sp],[af]|dda5
and [sp],[bc]|dda5
and [sp],[hl]|dda5
and [sp],[de]|dda5
and [sp],[sp]|dda5
and [sp],[ix]|dda5
and [sp],[iy]|dda5
and [ix] | dda5
and [ix],/bin/sh|dda5
and [ix],[/bin/sh]|dda5
and [ix],af|dda5
and [ix],bc|dda5
and [ix],hl|dda5
and [ix],de|dda5
and [ix],sp|dda5
and [ix],ix|dda5
and [ix],iy|dda5
and [ix],[af]|dda5
and [ix],[bc]|dda5
and [ix],[hl]|dda5
and [ix],[de]|dda5
and [ix],[sp]|dda5
and [ix],[ix]|dda5
and [ix],[iy]|dda5
and [iy] | dda5
and [iy],/bin/sh|dda5
